CRITERIA FOR SEARCH RESULTS:,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: AUSTRALASIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Country: Australia,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity: Gold,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource Date: Greater Than 01/Nov/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Parent Number ID,Name,Propno,Latitude,,Longitude,,Status,Operator/Significant Owner,Reserve Date(Gold),Reserves - Tonnage(Gold),,Reserves - Grade(Gold),,Reserves - Contained Material(Gold),,Reserves - Category(Gold),Resource Date(Gold),Resources - Tonnage(Gold),,Resources - Grade(Gold),,Resources - Contained Material(Gold),,Resources - Category(Gold),Commodities
22764,,Adelaide Hills Gold Project,22764,-34.674,,138.96,,Adv. Exploration,Terramin Australia Limited (Operator),,,,,,,,,30-Nov-13,"557,000",t ,13,g/t        ,"232,853",oz     ,INFE,"Copper, Gold, Lead, Zinc"
     *24518,22764,Bird-in-Hand Gold Deposit,24518,-34.96,,138.904,,Pre-feas/Scoping,Terramin Australia Limited (Operator),,,,,,,,,30-Nov-13,"557,000",t ,13,g/t        ,"232,853",oz     ,INFE,Gold
5350,,Bundarra Gold Project,5350,-28.346,,121.165,,Adv. Exploration,Bligh Resources Limited (Operator),21-Nov-13,"1,631,000",t ,2.29,g/t        ,"120,025",oz     ,PROV/PROB,27-Aug-13,"7,482,000",t ,2.04,g/t        ,"489,518",oz     ,MEAS/INDI/INFE,Gold
     *37395,5350,Bluebush Gold Deposit,37395,-28.359,,121.179,,Adv. Exploration,Bligh Resources Limited (Operator),21-Nov-13,"110,000",t ,1.76,g/t        ,"6,235",oz     ,PROB,27-Aug-13,"640,000",t ,1.84,g/t        ,"37,822",oz     ,INDI/INFE,Gold
     *34116,5350,Celtic Gold Deposit,34116,-28.351,,121.164,,Feasibility Study,Bligh Resources Limited (Operator),21-Nov-13,"104,000",t ,2.36,g/t        ,"7,898",oz     ,PROB,27-Aug-13,"1,440,000",t ,2.01,g/t        ,"93,027",oz     ,INDI/INFE,Gold
     *10311,5350,Great Western Gold Deposit,10311,-28.317,,121.183,,Pre-feas/Scoping,Bligh Resources Limited (Operator),21-Nov-13,"264,000",t ,2.77,g/t        ,"23,486",oz     ,PROV/PROB,27-Aug-13,"686,000",t ,2.87,g/t        ,"63,260",oz     ,MEAS/INDI/INFE,Gold
     *34115,5350,Wonder Gold Deposit,34115,-28.347,,121.187,,Pre-feas/Scoping,Bligh Resources Limited (Operator),21-Nov-13,"1,153,000",t ,2.22,g/t        ,"82,406",oz     ,PROV/PROB,27-Aug-13,"4,716,000",t ,1.95,g/t        ,"295,409",oz     ,MEAS/INDI/INFE,Gold
39561,,Carrapateena Copper/Gold Project,39561,-31.22,,137.5,,Adv. Exploration,OZ Minerals Limited (Operator),,,,,,,,,28-Nov-13,"800,000,000",t ,0.33,g/t        ,"8,490,369",oz     ,INDI/INFE,"Copper, Gold, Rare earth, Silver, Uranium"
     *10051,39561,Carrapateena Copper/Gold/Uranium Deposit,10051,-31.218,,137.498,,Pre-feas/Scoping,OZ Minerals Limited (Operator),,,,,,,,,28-Nov-13,"800,000,000",t ,0.33,g/t        ,"8,490,369",oz     ,INDI/INFE,"Cerium, Copper, Gold, Lanthanum, Rare earth, Silver, Uranium"
56149,,Eastern Hills Antimony/Lead Project,56149,-22.836,,116.113,,Exploration,Artemis Resources Limited (Operator),,,,,,,,,29-Nov-13,"1,312,000",t ,0.33,g/t        ,"13,919",oz     ,INDI/INFE,"Antimony, Gold, Lead, Silver"
7353,,Grafters Gold Project,7353,-30.188,,121.215,,Adv. Exploration,Excelsior Gold Limited (Operator),,,,,,,,,15-Nov-13,"261,000",t ,1.75,g/t        ,"14,685",oz     ,INFE,Gold
38348,,Kalgoorlie North Gold Project,38348,-30.293,,121.27,,Pre-feas/Scoping,Excelsior Gold Limited (Operator),,,,,,,,,15-Nov-13,"22,001,000",t ,1.81,g/t        ,"1,281,889",oz     ,MEAS/INDI/INFE,Gold
     *58670,38348,Big Blow North Gold Deposit,58670,-30.347,,121.301,,Adv. Exploration,Excelsior Gold Limited (Operator),,,,,,,,,15-Nov-13,"120,000",t ,1.46,g/t        ,"5,633",oz     ,INFE,Gold
     *58668,38348,Leilani Gold Deposit,58668,-30.384,,121.286,,Adv. Exploration,Excelsior Gold Limited (Operator),,,,,,,,,15-Nov-13,"119,000",t ,1.68,g/t        ,"6,415",oz     ,INDI/INFE,Gold
     *51617,38348,Nerrin Nerrin Gold Deposit,51617,-30.365,,121.29,,Pre-feas/Scoping,Excelsior Gold Limited (Operator),,,,,,,,,15-Nov-13,"181,000",t ,2.38,g/t        ,"13,863",oz     ,INDI/INFE,Gold
     *51606,38348,Zoroastrian Gold Deposit,51606,-30.336,,121.286,,Pre-feas/Scoping,Excelsior Gold Limited (Operator),,,,,,,,,11-Nov-13,"6,690,000",t ,2.7,g/t        ,"581,337",oz     ,INDI/INFE,Gold
42307,,Nullagine Gold Operation,42307,-21.966,,120.121,,Operating,Millennium Minerals Limited (Operator),31-Dec-12,"15,979,000",t ,1.39,g/t        ,"712,496",oz     ,PROV/PROB,13-Nov-13,"46,002,000",t ,1.26,g/t        ,"1,869,991",oz     ,MEAS/INDI/INFE,Gold
     *33071,42307,All Nations Gold Deposit,33071,-21.867,,120.305,,Feasibility Study,Millennium Minerals Limited (Operator),31-Dec-12,"574,000",t ,1.4,g/t        ,"25,836",oz     ,PROV/PROB,13-Nov-13,"2,230,000",t ,1.23,g/t        ,"87,948",oz     ,MEAS/INDI/INFE,Gold
     *33062,42307,Barton Gold Deposit,33062,-21.885,,120.281,,Feasibility Study,Millennium Minerals Limited (Operator),31-Dec-12,"1,642,000",t ,1.38,g/t        ,"72,852",oz     ,PROV/PROB,13-Nov-13,"3,710,000",t ,1.18,g/t        ,"140,705",oz     ,MEAS/INDI/INFE,Gold
     *1908,42307,Beatons Creek Gold Deposit,1908,-21.872,,120.1,,Adv. Exploration,Novo Resources Corp. (Operator),,,,,,,,,13-Nov-13,"8,900,000",t ,1.47,g/t        ,"420,628",oz     ,INFE,Gold
     *32388,42307,Golden Eagle Gold Mine,32388,-21.976,,120.119,,Operating,Millennium Minerals Limited (Operator),31-Dec-12,"11,491,000",t ,1.3,g/t        ,"480,277",oz     ,PROV/PROB,13-Nov-13,"21,810,000",t ,1.15,g/t        ,"805,099",oz     ,MEAS/INDI/INFE,Gold
     *34245,42307,Golden Gate Gold Deposit,34245,-21.807,,120.41,,Feasibility Study,Millennium Minerals Limited (Operator),31-Dec-12,"464,000",t ,3.4,g/t        ,"50,721",oz     ,PROB,13-Nov-13,"960,000",t ,3.09,g/t        ,"95,489",oz     ,MEAS/INDI/INFE,Gold
     *19236,42307,Golden Gate Satellites Gold Deposit,19236,-21.807,,120.418,,Feasibility Study,Millennium Minerals Limited (Operator),31-Dec-12,"216,000",t ,3.23,g/t        ,"22,453",oz     ,PROB,13-Nov-13,"2,180,000",t ,1.58,g/t        ,"110,785",oz     ,MEAS/INDI/INFE,Gold
     *33069,42307,Little Wonder Gold Deposit,33069,-21.864,,120.326,,Adv. Exploration,Millennium Minerals Limited (Operator),31-Dec-12,"258,000",t ,1.25,g/t        ,"10,369",oz     ,PROV/PROB,13-Nov-13,"940,000",t ,1.45,g/t        ,"43,712",oz     ,MEAS/INDI/INFE,Gold
     *40957,42307,Otways Gold Deposit,40957,-21.93,,120.23,,Adv. Exploration,Millennium Minerals Limited (Operator),31-Dec-12,"414,000",t ,1,g/t        ,"13,310",oz     ,PROV/PROB,13-Nov-13,"2,742,000",t ,0.86,g/t        ,"75,479",oz     ,MEAS/INDI/INFE,Gold
     *11779,42307,Shearers Gold Deposit,11779,-21.909,,120.18,,Feasibility Study,Millennium Minerals Limited (Operator),31-Dec-12,"920,000",t ,1.24,g/t        ,"36,678",oz     ,PROV/PROB,13-Nov-13,"2,330,000",t ,1.08,g/t        ,"80,501",oz     ,MEAS/INDI/INFE,Gold
33481,,Tennant Creek South Gold Project,33481,-19.689,,134.05,,Exploration,Emmerson Resources Limited (Operator),,,,,,,,,28-Nov-13,"170,000",t ,17.69,g/t        ,"96,710",oz     ,INDI/INFE,"Copper, Gold, Lead, Molybdenum, Silver, Zinc"
     *5666,33481,Chariot Gold Mine,5666,-19.65,,134.1,,Care/Maintenance,Emmerson Resources Limited (Operator),,,,,,,,,28-Nov-13,"170,000",t ,17.69,g/t        ,"96,710",oz     ,INDI/INFE,"Gold, Silver"
7254,,Tomingley Gold Project,7254,-32.583,,148.217,,Construction,Alkane Resources Ltd (Operator),31-Dec-12,"3,600,000",t ,1.81,g/t        ,"209,131",oz     ,PROV/PROB,12-Nov-13,"14,285,000",t ,2.01,g/t        ,"921,028",oz     ,MEAS/INDI/INFE,Gold
     *58592,7254,Caloma Two Gold Deposit,58592,-32.588,,148.224,,Adv. Exploration,Alkane Resources Ltd (Operator),,,,,,,,,12-Nov-13,"1,700,000",t ,2,g/t        ,"109,313",oz     ,INDI/INFE,Gold
,,Totals for all primary projects:,,,,,,,"21,210,000",t ,,"1,041,652",oz     ,,,"892,070,000",t ,,"13,410,962",oz     ,,,,,,
Note: subprojects designated with '*' have been excluded from total calculations.,,,,,,,,,,,,,,,,,,,,,,,,,,
(nc): Resource figures are derived using reported resources not compliant to industry standards.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserves/Resource,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Resources are inclusive of reserves.,,,,,,,,,,,,,,,,,,,,,,,,,,
Property No,,Property Name,Mineral/Metal,Category,Tonnage,Tonnage Units,Grade,Grade Units,Contained Material,Contained Material Units,Cut Off Grade,Resource Date,Date Updated,Notes,,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Copper,N/A,N/A,",000t",N/A,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Lead,N/A,N/A,",000t",N/A,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Zinc,N/A,N/A,",000t",N/A,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Gold,Inferred,557,",000t",13.003,g/t,232853,oz    ,1,30-Nov-13,2-Dec-13,,Yes,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Measured Indicated Inferred,"2,230",",000t",1.227,g/t,87948,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Proven Probable,574,",000t",1.4,g/t,25836,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Proven Probable,"1,642",",000t",1.38,g/t,72852,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Measured Indicated Inferred,"3,710",",000t",1.18,g/t,140705,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
1908,,Beatons Creek Gold Deposit,Gold,Inferred,"8,900",",000t",1.47,g/t,420628,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
58670,,Big Blow North Gold Deposit,Gold,Inferred,120,",000t",1.46,g/t,5633,oz    ,0.6,15-Nov-13,14-Nov-13,,Yes,,,,,,,,,,,
24518,,Bird-in-Hand Gold Deposit,Gold,Inferred,557,",000t",13.003,g/t,232853,oz    ,1,30-Nov-13,2-Dec-13,,Yes,,,,,,,,,,,
37395,,Bluebush Gold Deposit,Gold,Probable,110,",000t",1.763,g/t,6235,oz    ,0.82,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
37395,,Bluebush Gold Deposit,Gold,Indicated Inferred,640,",000t",1.838,g/t,37822,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Measured Indicated Inferred,"7,482",",000t",2.035,g/t,489518,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Proven Probable,"1,631",",000t",2.289,g/t,120025,oz    ,0.78,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
58592,,Caloma Two Gold Deposit,Gold,Indicated Inferred,"1,700",",000t",2,g/t,109313,oz    ,0.75,12-Nov-13,12-Nov-13,,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Rare earth,N/A,N/A,",000t",N/A,%,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Copper,Indicated Inferred,"800,000",",000t",0.796,%,6366400,t     ,0.3,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Gold,Indicated Inferred,"800,000",",000t",0.33,g/t,8490369,oz    ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Uranium,Indicated Inferred,"800,000",",000t",0.155,kg/t U3O8,123940,t     ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Silver,Indicated Inferred,"800,000",",000t",3.257,g/t,83761690,oz    ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Uranium,Indicated Inferred,"800,000",",000t",0.155,kg/t U3O8,123940,t     ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Silver,Indicated Inferred,"800,000",",000t",3.257,g/t,83761690,oz    ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Copper,Indicated Inferred,"800,000",",000t",0.796,%,6366400,t     ,0.3,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Gold,Indicated Inferred,"800,000",",000t",0.33,g/t,8490369,oz    ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Rare earth,N/A,N/A,",000t",N/A,%,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Cerium,N/A,N/A,",000t",N/A,% CeO2,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Lanthanum,N/A,N/A,",000t",N/A,% La2O3,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
34116,,Celtic Gold Deposit,Gold,Indicated Inferred,"1,440",",000t",2.009,g/t,93027,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
34116,,Celtic Gold Deposit,Gold,Probable,104,",000t",2.362,g/t,7898,oz    ,0.8,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
5666,,Chariot Gold Mine,Gold,Indicated Inferred,170,",000t",17.694,g/t,96710,oz    ,1,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
5666,,Chariot Gold Mine,Silver,N/A,N/A,",000t",N/A,g/t,0,oz    ,0,,28-Nov-13,,No,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Antimony,Indicated Inferred,"1,312",",000t",1.733,%,22740,t     ,1,29-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Lead,Indicated Inferred,"1,312",",000t",2.49,%,32672,t     ,0,29-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Silver,Indicated Inferred,"1,312",",000t",22.189,g/t,935973,oz    ,0,29-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Gold,Indicated Inferred,"1,312",",000t",0.33,g/t,13919,oz    ,0,29-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
32388,,Golden Eagle Gold Mine,Gold,Measured Indicated Inferred,"21,810",",000t",1.148,g/t,805099,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
32388,,Golden Eagle Gold Mine,Gold,Proven Probable,"11,491",",000t",1.3,g/t,480277,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
34245,,Golden Gate Gold Deposit,Gold,Probable,464,",000t",3.4,g/t,50721,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
34245,,Golden Gate Gold Deposit,Gold,Measured Indicated Inferred,960,",000t",3.094,g/t,95489,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Measured Indicated Inferred,"2,180",",000t",1.581,g/t,110785,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Probable,216,",000t",3.233,g/t,22453,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
7353,,Grafters Gold Project,Gold,Inferred,261,",000t",1.75,g/t,14685,oz    ,0.6,15-Nov-13,14-Nov-13,Grafters North and Grafters South,Yes,,,,,,,,,,,
10311,,Great Western Gold Deposit,Gold,Measured Indicated Inferred,686,",000t",2.868,g/t,63260,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
10311,,Great Western Gold Deposit,Gold,Proven Probable,264,",000t",2.767,g/t,23486,oz    ,0.75,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
38348,,Kalgoorlie North Gold Project,Gold,Measured Indicated Inferred,"22,001",",000t",1.812,g/t,1281889,oz    ,0.6,15-Nov-13,14-Nov-13,,Yes,,,,,,,,,,,
58668,,Leilani Gold Deposit,Gold,Indicated Inferred,119,",000t",1.677,g/t,6415,oz    ,0.6,15-Nov-13,14-Nov-13,,Yes,,,,,,,,,,,
33069,,Little Wonder Gold Deposit,Gold,Measured Indicated Inferred,940,",000t",1.446,g/t,43712,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33069,,Little Wonder Gold Deposit,Gold,Proven Probable,258,",000t",1.25,g/t,10369,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
51617,,Nerrin Nerrin Gold Deposit,Gold,Indicated Inferred,181,",000t",2.382,g/t,13863,oz    ,0.6,15-Nov-13,14-Nov-13,,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Proven Probable,"15,979",",000t",1.387,g/t,712496,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated Inferred,"46,002",",000t",1.264,g/t,1869991,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
40957,,Otways Gold Deposit,Gold,Measured Indicated Inferred,"2,742",",000t",0.856,g/t,75479,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
40957,,Otways Gold Deposit,Gold,Proven Probable,414,",000t",1,g/t,13310,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
11779,,Shearers Gold Deposit,Gold,Proven Probable,920,",000t",1.24,g/t,36678,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
11779,,Shearers Gold Deposit,Gold,Measured Indicated Inferred,"2,330",",000t",1.075,g/t,80501,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Copper,N/A,N/A,",000t",N/A,%,0,t     ,0,,7-Nov-07,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Silver,N/A,N/A,",000t",N/A,g/t,0,oz    ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Lead,N/A,N/A,",000t",N/A,%,0,t     ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Zinc,N/A,N/A,",000t",N/A,%,0,t     ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Molybdenum,N/A,N/A,",000t",N/A,% Mo,0,t     ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Silver,N/A,N/A,",000t",N/A,g/t,0,oz    ,0,,28-Nov-13,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Gold,Indicated Inferred,170,",000t",17.694,g/t,96710,oz    ,6,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
