CRITERIA FOR SEARCH RESULTS:,,,,,,,,,,,,,,,,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Measured Indicated Inferred,"14,285",",000t",2.005,g/t,921028,oz    ,0.75,12-Nov-13,12-Nov-13,,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Proven Probable,"3,600",",000t",1.807,g/t,209131,oz    ,0,31-Dec-12,12-Apr-13,,Yes,,,,,,,,,,,
34115,,Wonder Gold Deposit,Gold,Proven Probable,"1,153",",000t",2.223,g/t,82406,oz    ,0.78,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
34115,,Wonder Gold Deposit,Gold,Measured Indicated Inferred,"4,716",",000t",1.948,g/t,295409,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
51606,,Zoroastrian Gold Deposit,Gold,Indicated Inferred,"6,690",",000t",2.703,g/t,581337,oz    ,0.6,11-Nov-13,11-Nov-13,,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserves/Resource Detail with Classification,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Resources are inclusive of reserves.,,,,,,,,,,,,,,,,,,,,,,,,,,
Property No,,Property Name,Mineral/Metal,Category,Tonnage,Tonnage Units,Grade,Grade Units,Contained Material,Contained Material Units,Cut Off Grade,Resource Date,Date Updated,Notes,Compliant,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Copper,N/A,,",000t",,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Gold,Inferred,430,",000t",13.96,g/t,192994,oz    ,1,30-Nov-13,2-Dec-13,Copied from Bird-in-Hand Gold Deposit - Main Reef.,Yes,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Gold,Inferred,105,",000t",10.55,g/t,35615,oz    ,1,30-Nov-13,2-Dec-13,Copied from Bird-in-Hand Gold Deposit - White Reef.,Yes,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Gold,Inferred,22,",000t",6,g/t,4244,oz    ,1,30-Nov-13,2-Dec-13,Copied from Bird-in-Hand Gold Deposit - Yellow Reef,Yes,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Lead,N/A,,",000t",,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Zinc,N/A,,",000t",,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Proven Probable,574,",000t",1.4,g/t,25836,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Measured Indicated,1810,",000t",1.27,g/t,73905,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Inferred,420,",000t",1.04,g/t,14043,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Proven Probable,1642,",000t",1.38,g/t,72852,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Measured Indicated,3160,",000t",1.19,g/t,120900,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Inferred,550,",000t",1.12,g/t,19805,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
1908,,Beatons Creek Gold Deposit,Gold,Inferred,8900,",000t",1.47,g/t,420628,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
58670,,Big Blow North Gold Deposit,Gold,Inferred,120,",000t",1.46,g/t,5633,oz    ,0.6,15-Nov-13,14-Nov-13,,Yes,,,,,,,,,,,
24518,,Bird-in-Hand Gold Deposit,Gold,Inferred,22,",000t",6,g/t,4244,oz    ,1,30-Nov-13,2-Dec-13,Yellow Reef,Yes,,,,,,,,,,,
24518,,Bird-in-Hand Gold Deposit,Gold,Inferred,105,",000t",10.55,g/t,35615,oz    ,1,30-Nov-13,2-Dec-13,White Reef.,Yes,,,,,,,,,,,
24518,,Bird-in-Hand Gold Deposit,Gold,Inferred,430,",000t",13.96,g/t,192994,oz    ,1,30-Nov-13,2-Dec-13,Main Reef.,Yes,,,,,,,,,,,
37395,,Bluebush Gold Deposit,Gold,Probable,110,",000t",1.763,g/t,6235,oz    ,0.82,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
37395,,Bluebush Gold Deposit,Gold,Inferred,440,",000t",1.81,g/t,25605,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
37395,,Bluebush Gold Deposit,Gold,Indicated,200,",000t",1.9,g/t,12217,oz    ,1,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Proven Probable,264,",000t",2.767,g/t,23486,oz    ,0.75,21-Nov-13,29-Nov-13,Copied from Great Western Gold Deposit -,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Proven Probable,1153,",000t",2.223,g/t,82406,oz    ,0.78,21-Nov-13,29-Nov-13,Copied from Wonder Gold Deposit -,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Probable,104,",000t",2.362,g/t,7898,oz    ,0.8,21-Nov-13,29-Nov-13,Copied from Celtic Gold Deposit -,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Probable,110,",000t",1.763,g/t,6235,oz    ,0.82,21-Nov-13,29-Nov-13,Copied from Bluebush Gold Deposit -,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Measured Indicated,534,",000t",2.13,g/t,36569,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Wonder Gold Deposit - Wonder West.,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Measured Indicated,2607,",000t",2.09,g/t,175178,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Wonder Gold Deposit - Wonder North.,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Measured Indicated,359,",000t",2.73,g/t,31510,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Great Western Gold Deposit -,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Inferred,327,",000t",3.02,g/t,31750,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Great Western Gold Deposit -,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Inferred,1057,",000t",1.98,g/t,67287,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Celtic Gold Deposit - Celtic.,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Inferred,111,",000t",1.42,g/t,5068,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Celtic Gold Deposit - Celtic South.,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Inferred,1284,",000t",1.63,g/t,67289,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Wonder Gold Deposit - Wonder North.,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Inferred,291,",000t",1.75,g/t,16373,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Wonder Gold Deposit - Wonder West.,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Inferred,440,",000t",1.81,g/t,25605,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Bluebush Gold Deposit -,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Indicated,200,",000t",1.9,g/t,12217,oz    ,1,27-Aug-13,5-Sep-13,Copied from Bluebush Gold Deposit -,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Indicated,78,",000t",2.1,g/t,5266,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Celtic Gold Deposit - Celtic South.,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Indicated,194,",000t",2.47,g/t,15406,oz    ,0.5,27-Aug-13,5-Sep-13,Copied from Celtic Gold Deposit - Celtic.,Yes,,,,,,,,,,,
58592,,Caloma Two Gold Deposit,Gold,Inferred,700,",000t",1.4,g/t,31508,oz    ,0.75,12-Nov-13,12-Nov-13,,Yes,,,,,,,,,,,
58592,,Caloma Two Gold Deposit,Gold,Indicated,1000,",000t",2.42,g/t,77805,oz    ,0.75,12-Nov-13,12-Nov-13,,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Copper,Inferred,444000,",000t",0.6,%,2664000,t     ,0.3,28-Nov-13,28-Nov-13,Copied from Carrapateena Copper/Gold/Uranium Deposit -,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Copper,Indicated,356000,",000t",1.04,%,3702400,t     ,0.3,28-Nov-13,28-Nov-13,Copied from Carrapateena Copper/Gold/Uranium Deposit -,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Gold,Inferred,444000,",000t",0.25,g/t,3568733,oz    ,0,28-Nov-13,28-Nov-13,Copied from Carrapateena Copper/Gold/Uranium Deposit - 0.3% Cu CoG.,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Gold,Indicated,356000,",000t",0.43,g/t,4921636,oz    ,0,28-Nov-13,28-Nov-13,Copied from Carrapateena Copper/Gold/Uranium Deposit - 0.3% Cu CoG.,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Rare earth,N/A,,",000t",,%,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Silver,Inferred,444000,",000t",2.42,g/t,34545331,oz    ,0,28-Nov-13,28-Nov-13,Copied from Carrapateena Copper/Gold/Uranium Deposit - 0.3% Cu CoG,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Silver,Indicated,356000,",000t",4.3,g/t,49216359,oz    ,0,28-Nov-13,28-Nov-13,Copied from Carrapateena Copper/Gold/Uranium Deposit - 0.3% Cu CoG.,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Uranium,Inferred,444000,",000t",0.126,kg/t U3O8,55944,t     ,0,28-Nov-13,28-Nov-13,Copied from Carrapateena Copper/Gold/Uranium Deposit - 0.3% Cu CoG.,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Uranium,Indicated,356000,",000t",0.191,kg/t U3O8,67996,t     ,0,28-Nov-13,28-Nov-13,Copied from Carrapateena Copper/Gold/Uranium Deposit - 0.3% Cu CoG.,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Cerium,N/A,,",000t",,% CeO2,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Copper,Inferred,444000,",000t",0.6,%,2664000,t     ,0.3,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Copper,Indicated,356000,",000t",1.04,%,3702400,t     ,0.3,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Gold,Inferred,444000,",000t",0.25,g/t,3568733,oz    ,0,28-Nov-13,28-Nov-13,0.3% Cu CoG.,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Gold,Indicated,356000,",000t",0.43,g/t,4921636,oz    ,0,28-Nov-13,28-Nov-13,0.3% Cu CoG.,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Lanthanum,N/A,,",000t",,% La2O3,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Rare earth,N/A,,",000t",,%,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Silver,Inferred,444000,",000t",2.42,g/t,34545331,oz    ,0,28-Nov-13,28-Nov-13,0.3% Cu CoG,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Silver,Indicated,356000,",000t",4.3,g/t,49216359,oz    ,0,28-Nov-13,28-Nov-13,0.3% Cu CoG.,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Uranium,Inferred,444000,",000t",0.126,kg/t U3O8,55944,t     ,0,28-Nov-13,28-Nov-13,0.3% Cu CoG.,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Uranium,Indicated,356000,",000t",0.191,kg/t U3O8,67996,t     ,0,28-Nov-13,28-Nov-13,0.3% Cu CoG.,Yes,,,,,,,,,,,
34116,,Celtic Gold Deposit,Gold,Probable,104,",000t",2.362,g/t,7898,oz    ,0.8,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
34116,,Celtic Gold Deposit,Gold,Inferred,111,",000t",1.42,g/t,5068,oz    ,0.5,27-Aug-13,5-Sep-13,Celtic South.,Yes,,,,,,,,,,,
34116,,Celtic Gold Deposit,Gold,Inferred,1057,",000t",1.98,g/t,67287,oz    ,0.5,27-Aug-13,5-Sep-13,Celtic.,Yes,,,,,,,,,,,
34116,,Celtic Gold Deposit,Gold,Indicated,78,",000t",2.1,g/t,5266,oz    ,0.5,27-Aug-13,5-Sep-13,Celtic South.,Yes,,,,,,,,,,,
34116,,Celtic Gold Deposit,Gold,Indicated,194,",000t",2.47,g/t,15406,oz    ,0.5,27-Aug-13,5-Sep-13,Celtic.,Yes,,,,,,,,,,,
5666,,Chariot Gold Mine,Gold,Inferred,60,",000t",19.2,g/t,37038,oz    ,1,28-Nov-13,28-Nov-13,Open Pit potential,Yes,,,,,,,,,,,
5666,,Chariot Gold Mine,Gold,Inferred,50,",000t",18.4,g/t,29579,oz    ,6,28-Nov-13,28-Nov-13,Underground potential,Yes,,,,,,,,,,,
5666,,Chariot Gold Mine,Gold,Indicated,50,",000t",16.5,g/t,26524,oz    ,6,28-Nov-13,28-Nov-13,Undeground potential,Yes,,,,,,,,,,,
5666,,Chariot Gold Mine,Gold,Indicated,10,",000t",11.1,g/t,3569,oz    ,1,28-Nov-13,28-Nov-13,Open Pit potential,Yes,,,,,,,,,,,
5666,,Chariot Gold Mine,Silver,N/A,,",000t",,g/t,0,oz    ,0,,28-Nov-13,,No,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Antimony,Inferred,500,",000t",1.3,%,6500,t     ,1,29-Nov-13,29-Nov-13,Taipan Zone,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Antimony,Indicated,812,",000t",2,%,16240,t     ,1,29-Nov-13,29-Nov-13,Taipan Zone,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Gold,Inferred,500,",000t",0.2,g/t,3215,oz    ,0,29-Nov-13,29-Nov-13,Taipan Zone. 1% Sb CoG.,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Gold,Indicated,812,",000t",0.41,g/t,10704,oz    ,0,29-Nov-13,29-Nov-13,Taipan Zone. 1% Sb CoG.,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Lead,Inferred,500,",000t",1.5,%,7500,t     ,0,29-Nov-13,29-Nov-13,Taipan Zone. 1% Sb CoG.,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Lead,Indicated,812,",000t",3.1,%,25172,t     ,0,29-Nov-13,29-Nov-13,Taipan Zone. 1% Sb CoG.,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Silver,Inferred,500,",000t",16,g/t,257206,oz    ,0,29-Nov-13,29-Nov-13,Taipan Zone. 1% Sb CoG.,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Silver,Indicated,812,",000t",26,g/t,678767,oz    ,0,29-Nov-13,29-Nov-13,Taipan Zone. 1% Sb CoG.,Yes,,,,,,,,,,,
32388,,Golden Eagle Gold Mine,Gold,Proven Probable,11491,",000t",1.3,g/t,480277,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
32388,,Golden Eagle Gold Mine,Gold,Measured Indicated,17640,",000t",1.169,g/t,662986,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
32388,,Golden Eagle Gold Mine,Gold,Inferred,4170,",000t",1.06,g/t,142113,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
34245,,Golden Gate Gold Deposit,Gold,Probable,464,",000t",3.4,g/t,50721,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
34245,,Golden Gate Gold Deposit,Gold,Measured Indicated,820,",000t",3.231,g/t,85181,oz    ,0.5,13-Nov-13,13-Nov-13,Grade adjusted to reflect contained ounces.,Yes,,,,,,,,,,,
34245,,Golden Gate Gold Deposit,Gold,Inferred,140,",000t",2.29,g/t,10308,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Probable,72,",000t",3.14,g/t,7269,oz    ,0,31-Dec-12,3-Apr-13,Condor deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Probable,19,",000t",4.1,g/t,2505,oz    ,0,31-Dec-12,3-Apr-13,Crow deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Probable,76,",000t",3.9,g/t,9529,oz    ,0,31-Dec-12,3-Apr-13,Falcon deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Probable,38,",000t",2,g/t,2443,oz    ,0,31-Dec-12,3-Apr-13,Harrier deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Probable,11,",000t",2,g/t,707,oz    ,0,31-Dec-12,3-Apr-13,G_Reef deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Measured Indicated,200,",000t",2.665,g/t,17136,oz    ,0.5,13-Nov-13,13-Nov-13,Condor deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Measured Indicated,75,",000t",2.885,g/t,6957,oz    ,0.5,13-Nov-13,13-Nov-13,Crow deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Inferred,50,",000t",2.335,g/t,3754,oz    ,0.5,13-Nov-13,13-Nov-13,Crow deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Inferred,25,",000t",3.685,g/t,2962,oz    ,0.5,13-Nov-13,13-Nov-13,G_Reef deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Inferred,1500,",000t",0.995,g/t,47985,oz    ,0.5,13-Nov-13,13-Nov-13,Au81 deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Inferred,25,",000t",3.705,g/t,2978,oz    ,0.5,13-Nov-13,13-Nov-13,Condor deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Inferred,40,",000t",1.8,g/t,2315,oz    ,0.5,13-Nov-13,13-Nov-13,Harrier deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Inferred,45,",000t",4.35,g/t,6294,oz    ,0.5,13-Nov-13,13-Nov-13,Falcon deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Indicated,95,",000t",3.85,g/t,11759,oz    ,0.5,13-Nov-13,13-Nov-13,Falcon deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Indicated,100,",000t",1.76,g/t,5659,oz    ,0.5,13-Nov-13,13-Nov-13,Harrier deposit.,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Indicated,25,",000t",3.715,g/t,2986,oz    ,0.5,13-Nov-13,13-Nov-13,G_Reef deposit.,Yes,,,,,,,,,,,
7353,,Grafters Gold Project,Gold,Inferred,261,",000t",1.75,g/t,14685,oz    ,0.6,15-Nov-13,14-Nov-13,Grafters North and Grafters South,Yes,,,,,,,,,,,
10311,,Great Western Gold Deposit,Gold,Proven Probable,264,",000t",2.767,g/t,23486,oz    ,0.75,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
10311,,Great Western Gold Deposit,Gold,Measured Indicated,359,",000t",2.73,g/t,31510,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
10311,,Great Western Gold Deposit,Gold,Inferred,327,",000t",3.02,g/t,31750,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
38348,,Kalgoorlie North Gold Project,Gold,Measured Indicated,8405,",000t",1.322,g/t,357240,oz    ,0.6,8-May-13,8-May-13,Copied from Excelsior Gold Deposit - Grade adjusted to reflect contained ounces.,Yes,,,,,,,,,,,
38348,,Kalgoorlie North Gold Project,Gold,Inferred,107,",000t",2.37,g/t,8153,oz    ,0.6,15-Nov-13,14-Nov-13,Copied from Nerrin Nerrin Gold Deposit -,Yes,,,,,,,,,,,
38348,,Kalgoorlie North Gold Project,Gold,Inferred,120,",000t",1.46,g/t,5633,oz    ,0.6,15-Nov-13,14-Nov-13,Copied from Big Blow North Gold Deposit -,Yes,,,,,,,,,,,
38348,,Kalgoorlie North Gold Project,Gold,Inferred,67,",000t",1.17,g/t,2520,oz    ,0.6,15-Nov-13,14-Nov-13,Copied from Leilani Gold Deposit -,Yes,,,,,,,,,,,
38348,,Kalgoorlie North Gold Project,Gold,Inferred,1344,",000t",1.91,g/t,82532,oz    ,0.6,11-Nov-13,11-Nov-13,Copied from Zoroastrian Gold Deposit - Open pit,Yes,,,,,,,,,,,
